"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0125103609110727,1.17957703553444
"mean",0.01,1,0.0947495606610031,3.19012756193541
"PPCA",0.01,1,0.0953888956556622,3.30186232067289
"RF",0.01,1,0.092708886727963,3.20158527379247
"min",0.01,2,0.0110245116816309,1.15914007413907
"mean",0.01,2,0.0908186105721591,3.11884709166333
"PPCA",0.01,2,0.0969455008523791,3.37787668566625
"RF",0.01,2,0.0982952880025494,3.44010942049813
"min",0.01,3,0.0121693661374675,1.13301116281906
"mean",0.01,3,0.0962042425887654,3.2927283478703
"PPCA",0.01,3,0.0930417803402563,3.2662096384284
"RF",0.01,3,0.0963141833455061,3.41183920325926
