"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0119203837701966,1.11190320149666
"mean",0.01,1,0.109372137489651,3.56530538780597
"PPCA",0.01,1,0.107200213716557,3.59464545084544
"RF",0.01,1,0.107423037112793,3.59122582614935
"min",0.01,2,0.0103982811370511,1.11741842131256
"mean",0.01,2,0.0993847363306082,3.26236044463563
"PPCA",0.01,2,0.109606106324831,3.66455332590431
"RF",0.01,2,0.108547515520028,3.49682444126687
"min",0.01,3,0.0108303076569215,1.14015877872422
"mean",0.01,3,0.107239286357926,3.482310413522
"PPCA",0.01,3,0.104804635133281,3.25207824323468
"RF",0.01,3,0.113724295710812,3.60147222728916
