"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.136510876821904,3.00376131917568
"mean",0.01,1,0.0141407645430264,0.999026206450523
"PPCA",0.01,1,0.0159023650864179,1.02314049873934
"RF",0.01,1,0.0163054142838032,1.01405625120161
"min",0.1,1,0.129753415543388,2.91363323051674
"mean",0.1,1,0.0152390945233013,1.00307872748391
"PPCA",0.1,1,0.0158413018767316,1.01758182374562
"RF",0.1,1,0.015355105789977,1.0115763560434
"min",0.3,1,0.121779480794075,2.8065779278745
"mean",0.3,1,0.0156272602821821,1.00460021352686
"PPCA",0.3,1,0.0161214956340632,1.01984195032047
"RF",0.3,1,0.0158299746637694,1.01233353963886
"min",0.4,1,0.119806589663269,2.78170270416537
"mean",0.4,1,0.0154897287789847,1.004258476231
"PPCA",0.4,1,0.016114192864263,1.02122961203253
"RF",0.4,1,0.0159495194117341,1.01265061221566
"min",0.01,2,0.136248077671486,2.97876742712586
"mean",0.01,2,0.0150481484542414,1.00236852895824
"PPCA",0.01,2,0.0162999853482848,1.00822475820222
"RF",0.01,2,0.0164716920003738,1.01218290234189
"min",0.1,2,0.131995730657227,2.94692797356968
"mean",0.1,2,0.015764806631708,1.00151120495259
"PPCA",0.1,2,0.016313993861676,1.0148099767305
"RF",0.1,2,0.0161452714909806,1.01060549089958
"min",0.3,2,0.123997176447124,2.81943533911612
"mean",0.3,2,0.0158528817600198,1.00378779529182
"PPCA",0.3,2,0.0163822240968741,1.01997810453321
"RF",0.3,2,0.0158449330803456,1.01032668708082
"min",0.4,2,0.119814836351854,2.7717776001497
"mean",0.4,2,0.015646893827839,1.00441033691837
"PPCA",0.4,2,0.0162898200964166,1.01911307611206
"RF",0.4,2,0.0159392591709815,1.01273503425695
"min",0.01,3,0.133203501973692,2.80686171260393
"mean",0.01,3,0.014570575045266,1.00630749308835
"PPCA",0.01,3,0.0160262084054316,1.0141771833296
"RF",0.01,3,0.015839333166826,1.02066444749943
"min",0.1,3,0.131348641382837,2.89717409383906
"mean",0.1,3,0.0153932290364338,1.00287753148983
"PPCA",0.1,3,0.0157413679537475,1.01588867157611
"RF",0.1,3,0.015685704794261,1.01010287007097
"min",0.3,3,0.124152365482214,2.84370744735583
"mean",0.3,3,0.0154230686044055,1.00321388287744
"PPCA",0.3,3,0.0161251584325198,1.01900289850547
"RF",0.3,3,0.0156932382968531,1.01196664084998
"min",0.4,3,0.120097028430522,2.80582311221221
"mean",0.4,3,0.0156699359586214,1.00517691752976
"PPCA",0.4,3,0.0161101705050932,1.02094501055748
"RF",0.4,3,0.0158389236246129,1.01200988237558
