"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0979190498278454,2.43520674560303
"mean",0.01,1,0.0164114170822998,1.00638850331174
"PPCA",0.01,1,0.016982884076372,1.03626254676274
"RF",0.01,1,0.0170237678237166,1.02931238170474
"min",0.1,1,0.093166690097067,2.46337606717207
"mean",0.1,1,0.0158092288389102,1.01036625363513
"PPCA",0.1,1,0.017110933031893,1.04035085463918
"RF",0.1,1,0.0160841865699089,1.01926916689516
"min",0.3,1,0.0864457249846314,2.35030911493722
"mean",0.3,1,0.0159148611942129,1.0138630910304
"PPCA",0.3,1,0.0172263550718312,1.05545467552969
"RF",0.3,1,0.0160523224201179,1.02183136237059
"min",0.4,1,0.0835354067249121,2.31317289192268
"mean",0.4,1,0.0160524368349686,1.01798273782618
"PPCA",0.4,1,0.0177700732830767,1.06748744942508
"RF",0.4,1,0.0163488173680804,1.02117262141764
"min",0.01,2,0.0913807652214563,2.46546222330992
"mean",0.01,2,0.0160399849953331,1.01629462239664
"PPCA",0.01,2,0.0160152524964131,1.03177817944549
"RF",0.01,2,0.0161270298581076,1.01801697712851
"min",0.1,2,0.0924169983800614,2.44408868912964
"mean",0.1,2,0.015896475491766,1.01477510915384
"PPCA",0.1,2,0.016865528377092,1.04195794593075
"RF",0.1,2,0.0161425097476031,1.01971559029227
"min",0.3,2,0.0879605172477276,2.38006480313376
"mean",0.3,2,0.0159787815287864,1.01358235928647
"PPCA",0.3,2,0.0173316233175855,1.05533744213463
"RF",0.3,2,0.0163713584337321,1.02071826591793
"min",0.4,2,0.0821745565842009,2.30046591028562
"mean",0.4,2,0.0159645809644745,1.01754333687084
"PPCA",0.4,2,0.017685088313991,1.06469056220192
"RF",0.4,2,0.0163572382529199,1.02425921586839
"min",0.01,3,0.0957231826701323,2.37768092625489
"mean",0.01,3,0.0164392585758685,1.00098104246074
"PPCA",0.01,3,0.0160480481569908,1.04508082702754
"RF",0.01,3,0.0169991827086569,1.01782011427313
"min",0.1,3,0.0928502306589459,2.45891168638091
"mean",0.1,3,0.0159485881320376,1.00927849964743
"PPCA",0.1,3,0.0170022067501281,1.04394628372803
"RF",0.1,3,0.0166806139804672,1.02146912821265
"min",0.3,3,0.0877765454538275,2.40174205210055
"mean",0.3,3,0.0157219608899141,1.01260837150303
"PPCA",0.3,3,0.0171245817805605,1.05295567345399
"RF",0.3,3,0.0160110632930858,1.0191370560799
"min",0.4,3,0.0839210069606103,2.33358759703635
"mean",0.4,3,0.0160747400445149,1.01753426906339
"PPCA",0.4,3,0.0175517879079306,1.06423283331775
"RF",0.4,3,0.0163518554721572,1.02661453910696
