"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.012449861421144,1.06426857354783
"mean",0.03,1,0.0960917164569747,3.16515951639931
"PPCA",0.03,1,0.101575653675294,3.46598454919464
"RF",0.03,1,0.100579432077941,3.33918403118084
"min",0.03,2,0.0119512030167289,1.15849504500926
"mean",0.03,2,0.103343081728634,3.50211822401408
"PPCA",0.03,2,0.105152919056848,3.17625099839464
"RF",0.03,2,0.103660721975472,3.46162629286166
"min",0.03,3,0.0106464162114994,1.10113895784582
"mean",0.03,3,0.0976302847456266,3.32373286283369
"PPCA",0.03,3,0.0955836434726702,3.16256198606117
"RF",0.03,3,0.104616081875843,3.58137096804545
