"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0121102139159313,1.13823290562364
"mean",0.01,1,0.109706902672347,3.342810671399
"min",0.1,1,0.0132668390842208,1.19803130149018
"mean",0.1,1,0.0831803408690954,3.10162072102437
"min",0.3,1,0.0200390832850213,1.44117589663319
"mean",0.3,1,0.0640609025265736,2.60905218488903
"min",0.5,1,0.0309850954605651,1.7001638892912
"mean",0.5,1,0.0648529315984425,2.43106659123372
"min",0.6,1,0.039211472192445,1.8425239422401
"mean",0.6,1,0.0700491268097812,2.45122036397613
"min",0.8,1,0.0610389091982435,2.18548266153659
"mean",0.8,1,0.0823265236037093,2.55062839467232
"min",0.01,2,0.0102736054457115,1.11245139283518
"mean",0.01,2,0.113483453170214,3.53500683315207
"min",0.1,2,0.013313818745711,1.22731900182382
"mean",0.1,2,0.0827910555668966,3.0772444450155
"min",0.3,2,0.0197520246162754,1.45232576649105
"mean",0.3,2,0.0643993365454353,2.59489882017385
"min",0.5,2,0.0325917169448633,1.71951465859447
"mean",0.5,2,0.0642437505495459,2.43712568353844
"min",0.6,2,0.0396277475998141,1.85593720216774
"mean",0.6,2,0.0692716350539469,2.45872760620425
"min",0.8,2,0.0598174647728003,2.16933236289894
"mean",0.8,2,0.0829319851186376,2.56382942218528
"min",0.01,3,0.0105898862602795,1.09446529519167
"mean",0.01,3,0.111700585774725,3.4618846289633
"min",0.1,3,0.012879572215367,1.22879124585121
"mean",0.1,3,0.0824004606944776,3.02012996889449
"min",0.3,3,0.0191938004001952,1.42774136182361
"mean",0.3,3,0.0634137436503238,2.60646106657629
"min",0.5,3,0.0319371777223259,1.71051860353916
"mean",0.5,3,0.0640848369560746,2.44004153980674
"min",0.6,3,0.0386170822837594,1.83464874913104
"mean",0.6,3,0.0696434189778374,2.44232701786805
"min",0.8,3,0.0585309018432099,2.15665087203011
"mean",0.8,3,0.0822195584466505,2.54766732955946
