"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0130073283434966,1.20743084741959
"mean",0.03,1,0.0806529887425498,3.15418294422705
"PPCA",0.03,1,0.0824286736988533,3.11143269797934
"RF",0.03,1,0.080169376994317,3.10503866204332
"min",0.03,2,0.0126358750706592,1.17666162636069
"mean",0.03,2,0.0773274513733179,2.9729557862964
"PPCA",0.03,2,0.0836075362246811,3.08801302972731
"RF",0.03,2,0.0800180578047845,3.03270473167027
"min",0.03,3,0.0123456536293297,1.20303209970554
"mean",0.03,3,0.0816819116355881,3.06111054766891
"PPCA",0.03,3,0.0794448476781669,2.98327263596667
"RF",0.03,3,0.0824040823635803,3.13296339536016
