"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0126850942368833,1.2208011679214
"mean",0.03,1,0.0796013083375449,2.95441749175642
"PPCA",0.03,1,0.0837892101278256,3.1842016297869
"RF",0.03,1,0.081073860591997,3.1088502222211
"min",0.03,2,0.01244200657015,1.24335932696676
"mean",0.03,2,0.0825215129160716,3.16273713154789
"PPCA",0.03,2,0.0829638769736909,3.15672750735574
"RF",0.03,2,0.0819027273873624,2.92224625042988
"min",0.03,3,0.0122059388215903,1.18676124779605
"mean",0.03,3,0.0783409685519071,2.91245545183356
"PPCA",0.03,3,0.0839888041481755,3.01461975902986
"RF",0.03,3,0.0800568841658945,3.05445044902459
