"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0119097380989521,1.11967751708698
"mean",0.03,1,0.0977837789623063,3.17983867178608
"PPCA",0.03,1,0.0985852439089991,3.15913470980408
"RF",0.03,1,0.10344212066014,3.52254598160122
"min",0.03,2,0.0112003834181979,1.11793084775813
"mean",0.03,2,0.104984023668924,3.67146851970559
"PPCA",0.03,2,0.10046411474777,3.44636184172531
"RF",0.03,2,0.102100479667258,3.34946126543052
"min",0.03,3,0.0104008543514916,1.13280034437743
"mean",0.03,3,0.102431753853258,3.63648606368282
"PPCA",0.03,3,0.100506923389961,3.34323344555262
"RF",0.03,3,0.0999069713700988,3.52456259165235
