"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0113758202685654,1.14806732292974
"mean",0.01,1,0.0936724843213279,3.4133361654535
"min",0.1,1,0.0190277147935672,1.40457048492983
"mean",0.1,1,0.0628854982595702,2.53363253316922
"min",0.3,1,0.0560192722531289,2.11701107525336
"mean",0.3,1,0.0771562562068659,2.45741501009535
"min",0.5,1,0.0937554257960378,2.58850872761731
"mean",0.5,1,0.0956830585578394,2.62217942752683
"min",0.6,1,0.097234251068949,2.62059745867546
"mean",0.6,1,0.0988808292240066,2.6437280384093
"min",0.8,1,0.10012380334173,2.65076106847053
"mean",0.8,1,0.100331793069453,2.65310577694441
"min",0.01,2,0.0109946538978374,1.16413624255528
"mean",0.01,2,0.0928356824646743,3.29332087046669
"min",0.1,2,0.019761701400245,1.41359545753904
"mean",0.1,2,0.0625613872702989,2.51390178385176
"min",0.3,2,0.0582933080281371,2.14688583888799
"mean",0.3,2,0.0740493748114282,2.42740595290365
"min",0.5,2,0.0900630946441149,2.54509513280738
"mean",0.5,2,0.0944319773247775,2.60315536114269
"min",0.6,2,0.0972538954768117,2.62072940191989
"mean",0.6,2,0.0980889313968689,2.63527293167128
"min",0.8,2,0.0993859725925846,2.64254119353465
"mean",0.8,2,0.0998051260035017,2.6477042141428
"min",0.01,3,0.0115067673512034,1.17924750563212
"mean",0.01,3,0.0912691644028274,3.31424605618794
"min",0.1,3,0.0185266483952584,1.41248177964453
"mean",0.1,3,0.0623434292410873,2.51901426475996
"min",0.3,3,0.0604925435723836,2.18416904749043
"mean",0.3,3,0.0752881260294489,2.45026060114829
"min",0.5,3,0.0926523013523456,2.5833750494864
"mean",0.5,3,0.0972221080808562,2.64144138580558
"min",0.6,3,0.0973895247588044,2.63136006754927
"mean",0.6,3,0.0990325137939534,2.65080922304457
"min",0.8,3,0.100735956908969,2.66368427951689
"mean",0.8,3,0.100872782420683,2.66539284253316
