"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"KNNImpute",0.02,"MNARMARMCAR",0.01,0.01,0.01,1,26,200,5200,0.00103306770324707,1.17803833896206
"BPCA",0.02,"MNARMARMCAR",0.01,0.01,0.01,1,26,200,5200,0.190541982650757,1.17552722414325
"svdImpute",0.02,"MNARMARMCAR",0.01,0.01,0.01,1,26,200,5200,0.0903761386871338,1.45412479406835
"PPCA",0.1,"MCAR",0,0.1,0,1,26,200,5200,26.1839380264282,1.09207052339938
"RF",0.1,"MCAR",0,0.1,0,1,26,200,5200,5.5201690196991,1.03007832887111
"min",0.1,"MCAR",0,0.1,0,1,26,200,5200,0.0804073810577393,2.09693133442257
"mean",0.1,"MCAR",0,0.1,0,1,26,200,5200,0.0763602256774902,1.01944024384514
"LLS",0.1,"MCAR",0,0.1,0,1,26,200,5200,0.76240062713623,1.41687382261527
"KNNImpute",0.1,"MCAR",0,0.1,0,1,26,200,5200,0.00113272666931152,1.04735300568023
"BPCA",0.1,"MCAR",0,0.1,0,1,26,200,5200,0.201053142547607,1.01944024384514
"svdImpute",0.1,"MCAR",0,0.1,0,1,26,200,5200,0.217777013778687,1.68921727760288
"PPCA",0.1,"MNAR",0.1,0,0,1,26,200,5200,19.5339598655701,2.95427505258263
"RF",0.1,"MNAR",0.1,0,0,1,26,200,5200,4.04541683197021,2.96394231036478
"min",0.1,"MNAR",0.1,0,0,1,26,200,5200,0.0824258327484131,1.24222299651607
"mean",0.1,"MNAR",0.1,0,0,1,26,200,5200,0.0753743648529053,2.93306634357867
"LLS",0.1,"MNAR",0.1,0,0,1,26,200,5200,0.711392402648926,3.20962761694576
"KNNImpute",0.1,"MNAR",0.1,0,0,1,26,200,5200,0.00110363960266113,2.98715726507616
"BPCA",0.1,"MNAR",0.1,0,0,1,26,200,5200,0.198021411895752,2.93306634357867
"svdImpute",0.1,"MNAR",0.1,0,0,1,26,200,5200,0.217039823532104,4.86913388688719
"PPCA",0.1,"MAR",0,0,0.1,1,26,200,5200,21.2372035980225,1.13178179509579
"RF",0.1,"MAR",0,0,0.1,1,26,200,5200,5.49184155464172,1.05551381829769
"min",0.1,"MAR",0,0,0.1,1,26,200,5200,0.0794429779052734,2.1065115650307
"mean",0.1,"MAR",0,0,0.1,1,26,200,5200,0.0756654739379883,1.04848688979537
"LLS",0.1,"MAR",0,0,0.1,1,26,200,5200,0.638830184936523,1.48640930874775
"KNNImpute",0.1,"MAR",0,0,0.1,1,26,200,5200,0.00107145309448242,1.09315258886681
"BPCA",0.1,"MAR",0,0,0.1,1,26,200,5200,0.198735475540161,1.04848688979537
"svdImpute",0.1,"MAR",0,0,0.1,1,26,200,5200,0.164883136749268,1.81844249727116
"PPCA",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,23.5608882904053,1.38668566120015
"RF",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,8.16233015060425,1.38678367709596
"min",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,0.0806982517242432,1.29075344094051
"mean",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,0.0761897563934326,1.36842647865983
"LLS",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,0.732312679290771,1.610600384062
"KNNImpute",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,0.00119256973266602,1.39167767312776
"BPCA",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,0.20026159286499,1.36842647865983
"svdImpute",0.1,"MNARMCAR",0.05,0.05,0,1,26,200,5200,0.307919025421143,2.14193883871894
"PPCA",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,23.9280309677124,1.08636266415617
"RF",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,6.96883511543274,1.0563641810217
"min",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,0.0841238498687744,2.07830675726768
"mean",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,0.0767998695373535,1.03426411905676
"LLS",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,0.714758157730103,1.33145177405085
"KNNImpute",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,0.0010988712310791,1.08621611509462
"BPCA",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,0.201964855194092,1.03426411905676
"svdImpute",0.1,"MARMCAR",0,0.05,0.05,1,26,200,5200,0.196256399154663,1.75391707763345
"PPCA",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,20.1822390556335,1.33575537934191
"RF",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,8.1710946559906,1.32406537595123
"min",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,0.0790691375732422,1.28795085394939
"mean",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,0.0752334594726562,1.31741143653745
"LLS",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,1.20478177070618,1.58461388244539
"KNNImpute",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,0.00113010406494141,1.35013490183441
"BPCA",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,0.200636863708496,1.31741143653745
"svdImpute",0.1,"MNARMAR",0.05,0,0.05,1,26,200,5200,0.166846513748169,1.98647883695326
"PPCA",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,20.9167153835297,1.1626731430897
"RF",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,4.64274096488953,1.16170748870067
"min",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,0.0795829296112061,1.46940448269979
"mean",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,0.0822799205780029,1.15181769556805
"LLS",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,0.55147385597229,1.39661861367557
"KNNImpute",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,0.00115561485290527,1.17573685034858
"BPCA",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,0.198091745376587,1.15181769556805
"svdImpute",0.1,"MNARMARMCAR",0.03,0.03,0.03,1,26,200,5200,0.177870512008667,1.49770059465483
"PPCA",0.2,"MCAR",0,0.2,0,1,26,200,5200,48.3353135585785,1.112655071912
"RF",0.2,"MCAR",0,0.2,0,1,26,200,5200,3.38888025283813,1.02694885477336
"min",0.2,"MCAR",0,0.2,0,1,26,200,5200,0.0823812484741211,2.063777753442
"mean",0.2,"MCAR",0,0.2,0,1,26,200,5200,0.07596755027771,1.01834595133228
"LLS",0.2,"MCAR",0,0.2,0,1,26,200,5200,5.97112488746643,1.32118349333409
"KNNImpute",0.2,"MCAR",0,0.2,0,1,26,200,5200,0.00120329856872559,1.05659358651454
"BPCA",0.2,"MCAR",0,0.2,0,1,26,200,5200,0.21964955329895,1.01834595133228
"svdImpute",0.2,"MCAR",0,0.2,0,1,26,200,5200,0.278717517852783,1.72764828880027
"PPCA",0.2,"MCAR",0.2,0,0,1,26,200,5200,0.278717517852783,NA
