"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.00973931865653531,1.17824261598575
"mean",0.01,1,0.100033848492754,3.40978214289066
"min",0.1,1,0.012516343489635,1.22164065247578
"mean",0.1,1,0.0818611233207715,3.11828464344999
"min",0.3,1,0.0190378320536327,1.43657797326629
"mean",0.3,1,0.0645071873121856,2.58223334826408
"min",0.5,1,0.0327440269896211,1.74748470427244
"mean",0.5,1,0.0637947204884131,2.45679806843383
"min",0.6,1,0.0393666723931055,1.86964689738406
"mean",0.6,1,0.0703505162876223,2.4454359344833
"min",0.8,1,0.0592895055206552,2.16052185743723
"mean",0.8,1,0.0837576489323517,2.57522577232895
"min",0.01,2,0.0106078060088098,1.14696147933092
"mean",0.01,2,0.108186985817452,4.00380467135468
"min",0.1,2,0.0126977718195733,1.23694802072842
"mean",0.1,2,0.083717171556751,3.30673013083966
"min",0.3,2,0.0200910461918323,1.45020334954886
"mean",0.3,2,0.0639566899120957,2.5493041809673
"min",0.5,2,0.0307288969772792,1.69647371541164
"mean",0.5,2,0.0644456341669754,2.43327276763101
"min",0.6,2,0.0388730073776494,1.84024949007446
"mean",0.6,2,0.068760755592441,2.44993563998014
"min",0.8,2,0.0603849634344629,2.18874828703499
"mean",0.8,2,0.0809909919708021,2.52400202110175
"min",0.01,3,0.0108469511676905,1.14787376703167
"mean",0.01,3,0.10690611395311,3.30606988743355
"min",0.1,3,0.0128511681438006,1.24054709928207
"mean",0.1,3,0.0840174576687306,3.02295931867725
"min",0.3,3,0.0210029669008174,1.43779081643475
"mean",0.3,3,0.0637905321286223,2.61824541644864
"min",0.5,3,0.0343694174252916,1.75007516156533
"mean",0.5,3,0.0654165952129287,2.44026921261479
"min",0.6,3,0.0399977791412209,1.87325246004813
"mean",0.6,3,0.0681745303629217,2.43567574910226
"min",0.8,3,0.0602669411537514,2.17733051078953
"mean",0.8,3,0.0825505447836556,2.55522066105037
