"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0105653889755953,1.10707697482252
"mean",0.01,1,0.108039495406662,3.37770682501027
"PPCA",0.01,1,0.110315681134887,3.60014423805038
"RF",0.01,1,0.111534940063442,3.56426039464873
"min",0.01,2,0.0111550599627734,1.05732071289091
"mean",0.01,2,0.108242715314249,3.65611310853898
"PPCA",0.01,2,0.11217132581428,3.76824808108392
"RF",0.01,2,0.116341000895915,3.91790033296104
"min",0.01,3,0.0113051199978017,1.12626356139229
"mean",0.01,3,0.10148526623932,3.15857489821991
"PPCA",0.01,3,0.104714416415531,3.40453893341834
"RF",0.01,3,0.107331619265035,3.28582959168667
