"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.129431664277335,2.90227714244516
"mean",0.01,1,0.0154455642674444,1.00259742144854
"PPCA",0.01,1,0.0166964423402624,1.01808574997774
"RF",0.01,1,0.016034619180629,1.01353339592109
"min",0.1,1,0.125150340691502,2.83398032855309
"mean",0.1,1,0.0156443066358725,1.00384119383056
"PPCA",0.1,1,0.01576677525927,1.01394881267895
"RF",0.1,1,0.0158874143945728,1.01083224047865
"min",0.3,1,0.1186081725336,2.76777098084721
"mean",0.3,1,0.015666139827981,1.004860647674
"PPCA",0.3,1,0.0162325687859154,1.01931612826657
"RF",0.3,1,0.0159060614707084,1.0111349201063
"min",0.4,1,0.114716985135925,2.72562765841925
"mean",0.4,1,0.0158057880845101,1.00602951846618
"PPCA",0.4,1,0.0162843396429247,1.02303600015939
"RF",0.4,1,0.0159577304741633,1.01295588324661
"min",0.01,2,0.12456765435546,2.88240193171259
"mean",0.01,2,0.0161945146092532,1.00534459112223
"PPCA",0.01,2,0.0155804535749554,1.0168755913753
"RF",0.01,2,0.0159920331049693,1.01161903724873
"min",0.1,2,0.122005834298871,2.7935131570576
"mean",0.1,2,0.0156394508071401,1.0042284612654
"PPCA",0.1,2,0.0159671984731354,1.01760987613371
"RF",0.1,2,0.0157048962770323,1.0103502818881
"min",0.3,2,0.115795803998781,2.74246967889016
"mean",0.3,2,0.0155862446600826,1.00484138198982
"PPCA",0.3,2,0.016064116027931,1.02127206830821
"RF",0.3,2,0.0158576593602161,1.01024438764964
"min",0.4,2,0.112475962238877,2.69918875554342
"mean",0.4,2,0.0156373295275597,1.0057658045078
"PPCA",0.4,2,0.0161557605383732,1.02208989542394
"RF",0.4,2,0.0158196364258087,1.01207972412408
"min",0.01,3,0.12520887302022,2.76124438585499
"mean",0.01,3,0.0161385428671411,1.00276143205605
"PPCA",0.01,3,0.0158675792331655,1.0113093268966
"RF",0.01,3,0.0155179502678234,1.0080878480378
"min",0.1,3,0.123788805636113,2.79607828290442
"mean",0.1,3,0.0158808884762859,1.00448569627029
"PPCA",0.1,3,0.0161974191818904,1.0153323425687
"RF",0.1,3,0.0161658931719561,1.01107349672865
"min",0.3,3,0.11614060046219,2.72807752645007
"mean",0.3,3,0.0157851613384278,1.00494160691729
"PPCA",0.3,3,0.0161254262055688,1.0189769365111
"RF",0.3,3,0.0159386060509575,1.01147295308085
"min",0.4,3,0.113945051411809,2.70938049069793
"mean",0.4,3,0.0156910684563209,1.00537720870413
"PPCA",0.4,3,0.0162604754213751,1.02293251353227
"RF",0.4,3,0.0158574675209343,1.01199014155771
