"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0109301767355931,1.15065717811336
"mean",0.03,1,0.0997301610973965,3.40668681404081
"PPCA",0.03,1,0.0987271994748178,3.4659090392896
"RF",0.03,1,0.101683160455064,3.42152816118325
"min",0.03,2,0.0112635055623575,1.14616171908934
"mean",0.03,2,0.100110186868639,3.47682386618621
"PPCA",0.03,2,0.0989138133768399,3.35915446061539
"RF",0.03,2,0.104307654472723,3.46712526320312
"min",0.03,3,0.0115040423110449,1.14267790214298
"mean",0.03,3,0.100714315476419,3.344516945431
"PPCA",0.03,3,0.103503804856613,3.47609255283859
"RF",0.03,3,0.103515508783464,3.50772165531324
