"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0989443583620909,2.43690073073426
"mean",0.01,1,0.0151092912455847,1.00195545106148
"PPCA",0.01,1,0.0197513916042637,1.04465240075694
"RF",0.01,1,0.018039671327286,1.0209772095391
"min",0.1,1,0.0948790443081622,2.50690705887893
"mean",0.1,1,0.0157988180137484,1.01026154091017
"PPCA",0.1,1,0.0167528416648902,1.03883800571802
"RF",0.1,1,0.0167534275860953,1.01604078511427
"min",0.3,1,0.0861819492062794,2.36226334672254
"mean",0.3,1,0.0159033800839194,1.00908377873149
"PPCA",0.3,1,0.0174397836564729,1.05976863200533
"RF",0.3,1,0.0158738824692467,1.01645861191565
"min",0.4,1,0.0818945964177795,2.28039062835156
"mean",0.4,1,0.0159556353111444,1.01526779559518
"PPCA",0.4,1,0.0174866028515955,1.07608540519277
"RF",0.4,1,0.0160482303494661,1.02359506288305
"min",0.01,2,0.0919397510905354,2.41463445740115
"mean",0.01,2,0.0170522910026703,1.02309309307465
"PPCA",0.01,2,0.0173523436936273,1.02704243724661
"RF",0.01,2,0.0173725534522672,1.05695994026165
"min",0.1,2,0.0948050663858361,2.50772066373491
"mean",0.1,2,0.0157064729332443,1.01495068992571
"PPCA",0.1,2,0.0175958201557879,1.0578909141474
"RF",0.1,2,0.0164097401591363,1.01766265420697
"min",0.3,2,0.0871612104142284,2.37305429135774
"mean",0.3,2,0.0158369718566656,1.01287108306681
"PPCA",0.3,2,0.0173248909215761,1.05260410928272
"RF",0.3,2,0.0160148031513739,1.01983193389936
"min",0.4,2,0.0843977336138275,2.34367202851849
"mean",0.4,2,0.0158024707289731,1.01790094813006
"PPCA",0.4,2,0.0180361774919713,1.06991665459675
"RF",0.4,2,0.0164813431947152,1.02758150812986
"min",0.01,3,0.094208613439586,2.62106278419215
"mean",0.01,3,0.0168341082134683,1.01307351948968
"PPCA",0.01,3,0.0160572478946143,1.0715285241165
"RF",0.01,3,0.0160117103165217,1.0251914846619
"min",0.1,3,0.0929136245556656,2.44012373752251
"mean",0.1,3,0.0157148888593809,1.00572728373834
"PPCA",0.1,3,0.0176770315464537,1.03225234367219
"RF",0.1,3,0.0161211404079102,1.01553655932146
"min",0.3,3,0.0870632338729283,2.37191185832437
"mean",0.3,3,0.0158657675435891,1.01084926152782
"PPCA",0.3,3,0.0173341168853083,1.05776485406276
"RF",0.3,3,0.016137893165788,1.02129804679986
"min",0.4,3,0.0834437287774056,2.32419212589311
"mean",0.4,3,0.0160353897259071,1.01554734537171
"PPCA",0.4,3,0.017574232227916,1.06042317046909
"RF",0.4,3,0.0162359696639791,1.02600964986957
