"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0127840271923992,1.19642018254494
"mean",0.03,1,0.0789287413703783,3.0134364136488
"PPCA",0.03,1,0.0819785244736703,3.13109527473018
"RF",0.03,1,0.0807817293433036,3.0751393596357
"min",0.03,2,0.0133474921251819,1.21342124650361
"mean",0.03,2,0.081637948529536,2.98399247109096
"PPCA",0.03,2,0.0825835245106921,3.08292799089413
"RF",0.03,2,0.0830164552494034,3.02256637152273
"min",0.03,3,0.012854987160215,1.21275516941056
"mean",0.03,3,0.0815998411473284,3.09114016732793
"PPCA",0.03,3,0.0803144854180428,3.04220032721417
"RF",0.03,3,0.0833610922156165,3.06900986769434
