"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.010078597161583,1.19647226767558
"mean",0.01,1,0.113268865135722,3.24661224454182
"PPCA",0.01,1,0.10838817967587,3.72942664694957
"RF",0.01,1,0.10248593462393,3.50860477987168
"min",0.01,2,0.012195476649213,1.08690362987356
"mean",0.01,2,0.108351172359453,3.6269036550552
"PPCA",0.01,2,0.116104779140203,3.6520637733529
"RF",0.01,2,0.115865468820694,3.64702603794323
"min",0.01,3,0.0103671084794191,1.1351690990458
"mean",0.01,3,0.111452210414484,3.63988588547762
"PPCA",0.01,3,0.110281696796792,3.87162267708185
"RF",0.01,3,0.0988041245151787,3.03034648883482
