"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"min",0.3," MCAR ",0,0.3,0,1,75,1000,75000,0.338319778442383,2.52432782887722
"mean",0.3," MCAR ",0,0.3,0,1,75,1000,75000,0.33008885383606,1.01092321762358
"LLS",0.3," MCAR ",0,0.3,0,1,75,1000,75000,5.66340114672979,14.6310790404668
"KNNImpute",0.3," MCAR ",0,0.3,0,1,75,1000,75000,0.0226664543151855,1.07768865945676
"BPCA",0.3," MCAR ",0,0.3,0,1,75,1000,75000,7.19595646858215,1.01092321762358
"PPCA",0.3," MNAR ",0.3,0,0,1,75,1000,75000,11.3659422039986,2.66589158237339
"RF",0.3," MNAR ",0.3,0,0,1,75,1000,75000,2.09404032627741,2.68330870791953
"min",0.3," MNAR ",0.3,0,0,1,75,1000,75000,0.321381330490112,1.41588702510889
"mean",0.3," MNAR ",0.3,0,0,1,75,1000,75000,0.349144220352173,2.65680797313291
"LLS",0.3," MNAR ",0.3,0,0,1,75,1000,75000,5.38751082817713,9.34951274893621
"KNNImpute",0.3," MNAR ",0.3,0,0,1,75,1000,75000,0.0233347415924072,2.68609037190083
"BPCA",0.3," MNAR ",0.3,0,0,1,75,1000,75000,7.14569020271301,2.65680797313291
"PPCA",0.3," MAR ",0,0,0.3,1,75,1000,75000,15.1724544088046,1.04157676390816
"RF",0.3," MAR ",0,0,0.3,1,75,1000,75000,2.1307586868604,1.01737521126203
"min",0.3," MAR ",0,0,0.3,1,75,1000,75000,0.323237657546997,2.50488533830433
"mean",0.3," MAR ",0,0,0.3,1,75,1000,75000,0.330654382705688,1.01073914225125
"LLS",0.3," MAR ",0,0,0.3,1,75,1000,75000,5.61332436005274,5.16373051198508
"KNNImpute",0.3," MAR ",0,0,0.3,1,75,1000,75000,0.0248937606811523,1.0829699366989
"BPCA",0.3," MAR ",0,0,0.3,1,75,1000,75000,7.88666749000549,1.01073914225125
"PPCA",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,13.1188195546468,1.42525241327951
"RF",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,2.08518180449804,1.42576761216829
"min",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,0.339040279388428,1.2241654120008
"mean",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,0.337943077087402,1.41532279247188
"LLS",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,5.4772652387619,5.90569316357211
"KNNImpute",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,0.0249207019805908,1.44112288964372
"BPCA",0.3," MNAR  MCAR ",0.15,0.15,0,1,75,1000,75000,7.09181523323059,1.41532279247188
"PPCA",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,14.4984202623367,1.04085409197978
"RF",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,2.07579312324524,1.01952035763603
"min",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,0.320773124694824,2.51842158734859
"mean",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,0.337659120559692,1.01290970731939
"LLS",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,5.55729751586914,10.9586441644149
"KNNImpute",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,0.0262191295623779,1.08169337011536
"BPCA",0.3," MAR  MCAR ",0,0.15,0.15,1,75,1000,75000,7.31076049804688,1.01290970731939
"PPCA",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,13.8086414615313,1.33017433601805
"RF",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,2.04791028896968,1.32911023129086
"min",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,0.317390203475952,1.25237817371729
"mean",0.3," MNAR  MAR ",0.15,0,0.15,1,75,1000,75000,0.331620693206787,1.31778521094875
