"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0130764553527646,1.22362372970436
"mean",0.01,1,0.0903255387196368,3.14532188289618
"PPCA",0.01,1,0.0883591672823563,3.06651331292754
"RF",0.01,1,0.0958992884182883,3.54844481193292
"min",0.01,2,0.0121052222796279,1.16972629552264
"mean",0.01,2,0.0942739165043622,3.46829311128716
"PPCA",0.01,2,0.0973505538855218,3.53716900255268
"RF",0.01,2,0.0977905042094891,3.36655071533487
"min",0.01,3,0.0105110333330398,1.11108416100009
"mean",0.01,3,0.0967052806448658,3.15581235674643
"PPCA",0.01,3,0.0958293648464674,3.73615814543274
"RF",0.01,3,0.0974944921681203,3.41088892775059
