"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.00980422938396233,1.08372882979174
"mean",0.01,1,0.108651935258552,3.3883346537376
"PPCA",0.01,1,0.109695576960631,3.42845751962361
"RF",0.01,1,0.104122600902131,3.60150446801477
"min",0.01,2,0.0112348689155633,1.14665094461581
"mean",0.01,2,0.0971464372445998,3.04430341089609
"PPCA",0.01,2,0.104375391366165,3.18280003653185
"RF",0.01,2,0.111168796960823,3.57839050861015
"min",0.01,3,0.0109686107046154,1.04686149379672
"mean",0.01,3,0.115125909527503,3.8235754953668
"PPCA",0.01,3,0.108589189374439,3.47170255945839
"RF",0.01,3,0.110801825353972,3.56195949983353
