"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0111197151015215,1.19996253465103
"mean",0.03,1,0.100534685101288,3.48608451923095
"PPCA",0.03,1,0.100980231816028,3.49175730850346
"RF",0.03,1,0.0995173657864839,3.42427606744611
"min",0.03,2,0.0107609713117271,1.13029607969385
"mean",0.03,2,0.098516588261497,3.40271779638446
"PPCA",0.03,2,0.0976413294436818,3.38662123096254
"RF",0.03,2,0.0971101756029816,3.36942929793027
"min",0.03,3,0.0105931224185852,1.20073696422257
"mean",0.03,3,0.0926255874587271,3.29382313796529
"PPCA",0.03,3,0.102181886686735,3.58887598941232
"RF",0.03,3,0.0946218467919481,3.31004750244172
