"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0136258520867322,1.18289216198724
"mean",0.01,1,0.0957573125545046,3.38890542538203
"min",0.1,1,0.0185990638711051,1.382398027162
"mean",0.1,1,0.0645575855299421,2.5829679922313
"min",0.3,1,0.05917179420263,2.14836665331917
"mean",0.3,1,0.0785398872201905,2.44443943408806
"min",0.5,1,0.0936588254950922,2.57317824985684
"mean",0.5,1,0.0956913499991269,2.59863708062958
"min",0.6,1,0.0986321799043061,2.61590846055496
"mean",0.6,1,0.100539831134648,2.64005481903875
"min",0.8,1,0.102063512565893,2.65043147546207
"mean",0.8,1,0.102004270845299,2.64983473030429
"min",0.01,2,0.0107185049668143,1.11219174311706
"mean",0.01,2,0.0887050051745702,3.14344233770089
"min",0.1,2,0.0193339149014081,1.43077683855926
"mean",0.1,2,0.0622991970448063,2.5856946628236
"min",0.3,2,0.0609932737455848,2.19900826906645
"mean",0.3,2,0.0778098049540377,2.47766026200814
"min",0.5,2,0.0923423438863117,2.58371905304454
"mean",0.5,2,0.0966577791651649,2.64045804438576
"min",0.6,2,0.0987129644121762,2.65047608086169
"mean",0.6,2,0.10099722228695,2.6774817551369
"min",0.8,2,0.102189186303526,2.68693502695855
"mean",0.8,2,0.102074433935286,2.68555028237976
"min",0.01,3,0.011232232408248,1.12007972237689
"mean",0.01,3,0.0975455677507676,3.19033612916615
"min",0.1,3,0.0207849126559481,1.44793328261515
"mean",0.1,3,0.0620487980882026,2.52156568693785
"min",0.3,3,0.0561436114047961,2.09853335772299
"mean",0.3,3,0.0775132336630822,2.44623983799973
"min",0.5,3,0.0898161489705372,2.53500281843679
"mean",0.5,3,0.0970891769004698,2.61882779717173
"min",0.6,3,0.0974040916934494,2.61391446398393
"mean",0.6,3,0.0982338563896058,2.6262321090808
"min",0.8,3,0.0999618061364231,2.63823117888081
"mean",0.8,3,0.10007976100528,2.63911661362759
