"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.124293363214412,2.78680937566413
"mean",0.01,1,0.0147811071536483,1.00889240058679
"PPCA",0.01,1,0.015099985637637,1.01207503600668
"RF",0.01,1,0.0153765835973409,1.01145636873273
"min",0.1,1,0.125583323232872,2.84511543544631
"mean",0.1,1,0.0156086908076503,1.00387488014144
"PPCA",0.1,1,0.0163491079973573,1.02341975725649
"RF",0.1,1,0.0155169819101864,1.01282762498001
"min",0.3,1,0.11909835944662,2.76023271137357
"mean",0.3,1,0.0156478651721232,1.00340686783268
"PPCA",0.3,1,0.0164214084270701,1.0229205248223
"RF",0.3,1,0.0161831255443135,1.01222054601097
"min",0.4,1,0.113706188782759,2.68627064559089
"mean",0.4,1,0.0157896743760064,1.00503179175371
"PPCA",0.4,1,0.0165742942299477,1.02584604905705
"RF",0.4,1,0.0160433782448409,1.01230046039802
"min",0.01,2,0.127555659792922,2.78687980054252
"mean",0.01,2,0.0143845404828978,1.00583501158652
"PPCA",0.01,2,0.0152948241726609,1.02677432849666
"RF",0.01,2,0.0173911862385792,1.01268232568583
"min",0.1,2,0.124243995565957,2.833434620715
"mean",0.1,2,0.0156907876109309,1.00294151734483
"PPCA",0.1,2,0.015796105363367,1.01885929536361
"RF",0.1,2,0.0159468516199608,1.01187677078089
"min",0.3,2,0.117359689629162,2.77377691327972
"mean",0.3,2,0.0157710356487546,1.00417986837611
"PPCA",0.3,2,0.0161432699396046,1.02327443497164
"RF",0.3,2,0.0159143291177003,1.01374964927093
"min",0.4,2,0.113600663175137,2.69792243236376
"mean",0.4,2,0.0158203160926628,1.00584763683472
"PPCA",0.4,2,0.0164396739387254,1.02792280257932
"RF",0.4,2,0.0159062466406462,1.01406147057123
"min",0.01,3,0.13023827983153,2.8938922778688
"mean",0.01,3,0.015940291340675,1.00224936933021
"PPCA",0.01,3,0.0162232583936982,1.01480532588913
"RF",0.01,3,0.0139986198506831,1.00988513588157
"min",0.1,3,0.124737212497942,2.8444023558192
"mean",0.1,3,0.0158083269268475,1.00572532044552
"PPCA",0.1,3,0.0164159134054866,1.01833787620012
"RF",0.1,3,0.0161730375904441,1.00985862849914
"min",0.3,3,0.119361092323331,2.76277522483057
"mean",0.3,3,0.0158520396238429,1.00447387762864
"PPCA",0.3,3,0.0164931198425971,1.02447929126419
"RF",0.3,3,0.0159065569242487,1.01174651640637
"min",0.4,3,0.116860122818482,2.74385600659652
"mean",0.4,3,0.0157848073352034,1.00557121401661
"PPCA",0.4,3,0.0164310224842077,1.02713421984703
"RF",0.4,3,0.0162472850187202,1.01173585148567
