"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"min",0.3," MCAR ",0,0.3,0,1,180,1130,203400,8.3840217590332,2.83235094392097
"mean",0.3," MCAR ",0,0.3,0,1,180,1130,203400,8.51632928848267,1.00511363679444
"LLS",0.3," MCAR ",0,0.3,0,1,180,1130,203400,21.4454751571019,1.38564096015253
"KNNImpute",0.3," MCAR ",0,0.3,0,1,180,1130,203400,8.39826607704163,1.07569345623895
"BPCA",0.3," MCAR ",0,0.3,0,1,180,1130,203400,27.2214124202728,1.00511363679444
"PPCA",0.3," MNAR ",0.3,0,0,1,180,1130,203400,20.0059891621272,2.68016849460098
"RF",0.3," MNAR ",0.3,0,0,1,180,1130,203400,9.32793734868367,2.70281947583728
"min",0.3," MNAR ",0.3,0,0,1,180,1130,203400,8.49095034599304,1.41184133831847
"mean",0.3," MNAR ",0.3,0,0,1,180,1130,203400,8.49091506004333,2.67593238307534
"LLS",0.3," MNAR ",0.3,0,0,1,180,1130,203400,20.1451194445292,3.17694281982124
"KNNImpute",0.3," MNAR ",0.3,0,0,1,180,1130,203400,9.2305703163147,2.71144824788519
"BPCA",0.3," MNAR ",0.3,0,0,1,180,1130,203400,26.1648893356323,2.67593238307534
"PPCA",0.3," MAR ",0,0,0.3,1,180,1130,203400,24.1667965690295,1.01915237832957
"RF",0.3," MAR ",0,0,0.3,1,180,1130,203400,9.24846597115199,1.01016219022074
"min",0.3," MAR ",0,0,0.3,1,180,1130,203400,8.67953419685364,2.7905806602837
"mean",0.3," MAR ",0,0,0.3,1,180,1130,203400,8.68394494056702,1.00426228594524
"LLS",0.3," MAR ",0,0,0.3,1,180,1130,203400,20.8732195774714,1.47520388138494
"KNNImpute",0.3," MAR ",0,0,0.3,1,180,1130,203400,8.27540349960327,1.08605427040069
"BPCA",0.3," MAR ",0,0,0.3,1,180,1130,203400,27.5469615459442,1.00426228594524
"PPCA",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,21.9908317526182,1.42509019903828
"RF",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,9.54555101394653,1.43453611450153
"min",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,8.36946558952332,1.24781032366368
"mean",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,8.37106347084045,1.42150682661514
"LLS",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,20.8482753594716,1.59896103634379
"KNNImpute",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,8.28841543197632,1.4528591300414
"BPCA",0.3," MNAR  MCAR ",0.15,0.15,0,1,180,1130,203400,26.7323341369629,1.42150682661514
"PPCA",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,23.7291695713997,1.01859979224845
"RF",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,9.1575896302859,1.01034367647645
"min",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,13.754855632782,2.78699780617896
"mean",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,13.7589321136475,1.0036973492
"LLS",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,21.2596835136414,1.45191401173619
"KNNImpute",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,8.47613286972046,1.07368754573034
"BPCA",0.3," MAR  MCAR ",0,0.15,0.15,1,180,1130,203400,26.6446161270142,1.0036973492
"PPCA",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,21.7926148176193,1.31149738161791
"RF",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,9.04021330674489,1.31808012686395
"min",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,8.75085496902466,1.26769778895234
"mean",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,8.75092720985413,1.30726023657895
"LLS",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,20.4143532077471,1.5112947692049
"KNNImpute",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,7.95951318740845,1.33927395061238
"BPCA",0.3," MNAR  MAR ",0.15,0,0.15,1,180,1130,203400,26.5225088596344,1.30726023657895
"PPCA",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,21.7604057192802,1.21107221114217
"RF",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,8.80065012772878,1.21556808908757
"min",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,8.44907784461975,1.50999289072395
"mean",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,8.30979466438293,1.20554534611028
"LLS",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,20.0492813785871,1.61776199125356
"KNNImpute",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,7.99128007888794,1.24138257254802
"BPCA",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,180,1130,203400,26.7539582252502,1.20554534611028
