"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0110461079862584,1.26454417311824
"mean",0.01,1,0.0924407660124973,3.45591909243613
"PPCA",0.01,1,0.0956441949126465,3.47550981335927
"RF",0.01,1,0.094686426004338,3.24654795279015
"min",0.01,2,0.0109871881436089,1.08661235643162
"mean",0.01,2,0.0919263048010494,3.28892566719378
"PPCA",0.01,2,0.0981438633842375,3.36115967082691
"RF",0.01,2,0.0952828209365471,3.28850149815942
"min",0.01,3,0.0136999297149589,1.05667494197499
"mean",0.01,3,0.0945990700318283,3.11801513541042
"PPCA",0.01,3,0.09364623699991,3.36470372868713
"RF",0.01,3,0.0923423348073805,2.94529784287729
