"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0103652047142449,1.09842548194259
"mean",0.01,1,0.109788948622185,3.75578977183054
"min",0.1,1,0.0134467246812543,1.21320479152218
"mean",0.1,1,0.081444922478937,2.95173647377333
"min",0.3,1,0.0199220330593848,1.44123402281101
"mean",0.3,1,0.0637246601683243,2.55863295367037
"min",0.5,1,0.0333927436550085,1.74341941705156
"mean",0.5,1,0.066135340834053,2.41699316939837
"min",0.6,1,0.0411228697969228,1.88172407598364
"mean",0.6,1,0.0697591670307067,2.43703983142174
"min",0.8,1,0.0629099423746267,2.21046309428545
"mean",0.8,1,0.0843250698542811,2.55961372881169
"min",0.01,2,0.0104836927664186,1.1393296661121
"mean",0.01,2,0.105709033411058,3.41094011486957
"min",0.1,2,0.0130899382911184,1.21847870346137
"mean",0.1,2,0.0813756976775129,3.0311806377435
"min",0.3,2,0.0210535854755533,1.48941176258382
"mean",0.3,2,0.0630665210878725,2.60722497172908
"min",0.5,2,0.0328081228367072,1.73784729163168
"mean",0.5,2,0.0652656239557029,2.43753659746991
"min",0.6,2,0.0419099703830774,1.89494137292045
"mean",0.6,2,0.0704934559518963,2.45291471143658
"min",0.8,2,0.0625878483411479,2.211462077058
"mean",0.8,2,0.0837840256025898,2.56490583893485
"min",0.01,3,0.0106930777302037,1.14471135395976
"mean",0.01,3,0.106680018126229,3.48857728895176
"min",0.1,3,0.0125642789938538,1.2204568202863
"mean",0.1,3,0.0812946025718468,3.05322139683942
"min",0.3,3,0.0204838406887582,1.45393139917322
"mean",0.3,3,0.0633431881682864,2.60539896177982
"min",0.5,3,0.0326299518712464,1.72057554179849
"mean",0.5,3,0.0654676456225135,2.44620970807568
"min",0.6,3,0.0422001148622242,1.89545149738959
"mean",0.6,3,0.0702222546121225,2.4679911852892
"min",0.8,3,0.0632264412429561,2.22029491152332
"mean",0.8,3,0.0857635183575756,2.58051116288452
