"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0118144106872326,1.11606634275729
"mean",0.01,1,0.112302926346055,3.66766165091443
"min",0.1,1,0.0126808817629284,1.19640185523941
"mean",0.1,1,0.0824849707208534,3.15609652097773
"min",0.3,1,0.0198309408588451,1.4362224649156
"mean",0.3,1,0.0635001379855414,2.51406973244309
"min",0.5,1,0.0319993143542062,1.71404850349641
"mean",0.5,1,0.0640302571608164,2.39582572766786
"min",0.6,1,0.0416323769650505,1.88206083999303
"mean",0.6,1,0.06869869822182,2.43917240848969
"min",0.8,1,0.0636241139893848,2.22518515609706
"mean",0.8,1,0.085194088583775,2.55333054414124
"min",0.01,2,0.011110283011361,1.13421830413942
"mean",0.01,2,0.101970386034865,3.20839289530753
"min",0.1,2,0.0134312005529984,1.23698301123483
"mean",0.1,2,0.0815721480527654,3.02975003365066
"min",0.3,2,0.019452690120762,1.43800668916737
"mean",0.3,2,0.0632877062602666,2.57654201209802
"min",0.5,2,0.0338843953977883,1.74228320958288
"mean",0.5,2,0.065148900360385,2.42460635588703
"min",0.6,2,0.0414293827868768,1.89906412375047
"mean",0.6,2,0.0734091754540946,2.48196440237752
"min",0.8,2,0.0630257794405585,2.20720240166108
"mean",0.8,2,0.0846913367536063,2.56963809886295
"min",0.01,3,0.0117071659751369,1.05269128812308
"mean",0.01,3,0.110030449203157,3.3290798879434
"min",0.1,3,0.0126431433116189,1.20885005197779
"mean",0.1,3,0.0806146881461505,3.06908164584295
"min",0.3,3,0.0211843058458989,1.46983869797612
"mean",0.3,3,0.0636524347388951,2.55345055180542
"min",0.5,3,0.034553344699891,1.76261394993164
"mean",0.5,3,0.0653228215753077,2.45087931662586
"min",0.6,3,0.0416705102257552,1.87951852134653
"mean",0.6,3,0.0715910205427903,2.44757407280506
"min",0.8,3,0.062188749630878,2.2071167413771
"mean",0.8,3,0.085106065749663,2.55632466639218
