"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.137206795256897,2.9154709429771
"mean",0.01,1,0.0158014270346712,1.00128583393322
"PPCA",0.01,1,0.015956156050818,1.01965844437618
"RF",0.01,1,0.0143601549801226,1.01097603775323
"min",0.1,1,0.135808162982518,2.98822844934814
"mean",0.1,1,0.0157599280226762,1.00311163634041
"PPCA",0.1,1,0.016036581694601,1.01387250991078
"RF",0.1,1,0.0157822263132772,1.00875687219252
"min",0.3,1,0.126873404258969,2.8529509905968
"mean",0.3,1,0.0153912470576792,1.00357496114301
"PPCA",0.3,1,0.0159459004028711,1.01845368375839
"RF",0.3,1,0.0157814953098372,1.01126621073177
"min",0.4,1,0.12220950968006,2.78575620154598
"mean",0.4,1,0.0156493005406745,1.00397905760555
"PPCA",0.4,1,0.0161876882735497,1.02095118983757
"RF",0.4,1,0.0159631118811901,1.01165828764763
"min",0.01,2,0.131614112640696,2.92125100917673
"mean",0.01,2,0.0156260911969851,0.998773329444372
"PPCA",0.01,2,0.0156466157877829,1.01067284928792
"RF",0.01,2,0.0166975893240069,1.00996592314291
"min",0.1,2,0.132381884094605,2.91018834496397
"mean",0.1,2,0.0157322509110047,1.00251087381004
"PPCA",0.1,2,0.0162187636629434,1.01661394987847
"RF",0.1,2,0.016049475911864,1.00829619878241
"min",0.3,2,0.124555709999255,2.80830623344079
"mean",0.3,2,0.0158272406818903,1.00425427850228
"PPCA",0.3,2,0.0161180309408068,1.01644812976477
"RF",0.3,2,0.0162626674646052,1.01195282987608
"min",0.4,2,0.121482675158987,2.79490503758442
"mean",0.4,2,0.0157592929367155,1.00349460389378
"PPCA",0.4,2,0.0161178037853606,1.02140120355832
"RF",0.4,2,0.015931107375399,1.01182233934102
"min",0.01,3,0.138083596971022,2.99434535538048
"mean",0.01,3,0.0156640693084094,1.00159998159766
"PPCA",0.01,3,0.0158382168540826,1.02272123444501
"RF",0.01,3,0.0164128509879052,1.00725623011407
"min",0.1,3,0.133261917439649,2.95760351405209
"mean",0.1,3,0.0154736975481026,1.00357840254566
"PPCA",0.1,3,0.016059650553072,1.01807848572906
"RF",0.1,3,0.0159134050764065,1.01010906117422
"min",0.3,3,0.124839699635523,2.8420460839044
"mean",0.3,3,0.0154102687238524,1.0033982573945
"PPCA",0.3,3,0.015941663184788,1.01949483275846
"RF",0.3,3,0.0157854944178141,1.00891414485037
"min",0.4,3,0.121438934542038,2.81084846004166
"mean",0.4,3,0.0155512560079803,1.00375619058336
"PPCA",0.4,3,0.0160467810836995,1.02049459351967
"RF",0.4,3,0.0157049902779921,1.01094915874112
