"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.0116872440197789,1.08260386846923
"mean",0.01,1,0.116580352806184,3.8385409978561
"min",0.1,1,0.0131052225870094,1.22906242249777
"mean",0.1,1,0.0818262913329662,3.06019355523981
"min",0.3,1,0.0186438758859517,1.42821928878991
"mean",0.3,1,0.0641370463085004,2.57195985339073
"min",0.5,1,0.030598258622966,1.70344935586555
"mean",0.5,1,0.0621800548536247,2.42189222550757
"min",0.6,1,0.0389568154727456,1.8543609081714
"mean",0.6,1,0.0695037436969977,2.45904690908382
"min",0.8,1,0.057912208933418,2.1548673165756
"mean",0.8,1,0.0823552838899599,2.55442818365663
"min",0.01,2,0.0117746784964216,1.23127359584324
"mean",0.01,2,0.114301865015132,3.39066853158405
"min",0.1,2,0.0134088960577527,1.19814929978607
"mean",0.1,2,0.082818779892332,3.01097155748306
"min",0.3,2,0.0199658066219318,1.44289286050102
"mean",0.3,2,0.0628628161829867,2.61668796954715
"min",0.5,2,0.0292101509154115,1.65398516641101
"mean",0.5,2,0.0629497214495715,2.39392021114338
"min",0.6,2,0.039621671428896,1.8524257887275
"mean",0.6,2,0.0689531291590446,2.44941847965587
"min",0.8,2,0.061382653186751,2.20319322973299
"mean",0.8,2,0.0813324392796274,2.54785877785577
"min",0.01,3,0.0105779092427527,1.13307977914128
"mean",0.01,3,0.112968890015178,3.74327219811598
"min",0.1,3,0.013704182278411,1.19695924008719
"mean",0.1,3,0.0847371978800865,3.22287766861364
"min",0.3,3,0.0186931251407971,1.43202181934946
"mean",0.3,3,0.063587238454939,2.58402637649445
"min",0.5,3,0.0327617774825013,1.72709152494255
"mean",0.5,3,0.0654509204900745,2.42428162355353
"min",0.6,3,0.0405317378508697,1.86199563865426
"mean",0.6,3,0.0701794081424246,2.45634026874244
"min",0.8,3,0.0562368602872895,2.11531415147266
"mean",0.8,3,0.0820340687129881,2.55101907112085
