"Method","Prop","Iteration","results_mse"
"RF",0.01,1,0.0158755965228529
"PPCA",0.01,1,0.0210570118705262
"mean",0.01,1,0.0171886946625665
"min",0.01,1,0.0922055295892589
"RF",0.1,1,0.016248211785016
"PPCA",0.1,1,0.0170788739730372
"mean",0.1,1,0.015998529163707
"min",0.1,1,0.0907010926169966
"RF",0.2,1,0.0158121079217501
"PPCA",0.2,1,0.0170334103263834
"mean",0.2,1,0.0159636682944561
"min",0.2,1,0.0899396079678904
"RF",0.3,1,0.0163557100089281
"PPCA",0.3,1,0.0172411730559986
"mean",0.3,1,0.0158136441966379
"min",0.3,1,0.0826589074471418
"RF",0.01,2,0.016387720262624
"PPCA",0.01,2,0.0169339625290979
"mean",0.01,2,0.0158044762674052
"min",0.01,2,0.103018682049269
"RF",0.1,2,0.015994253885239
"PPCA",0.1,2,0.0168837131761772
"mean",0.1,2,0.0155462325961999
"min",0.1,2,0.0920321659879314
"RF",0.2,2,0.0160794086831356
"PPCA",0.2,2,0.0172140908743705
"mean",0.2,2,0.0155560501598697
"min",0.2,2,0.0934267697570559
"RF",0.3,2,0.0162527399425768
"PPCA",0.3,2,0.0180966447516563
"mean",0.3,2,0.0161932499840444
"min",0.3,2,0.0879050742871212
