"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"KNNImpute",0.3," MCAR ",0,0.3,0,1,15,30,450,0.0691585540771484,1.04646989836118
"BPCA",0.3," MCAR ",0,0.3,0,1,15,30,450,0.495715618133545,1.03360663026001
"PPCA",0.3," MCAR ",0.3,0,0,1,15,30,450,0.495715618133545,NA
"RF",0.3," MNAR ",0.3,0,0,1,15,30,450,0.539947271347046,2.17241139904053
"min",0.3," MNAR ",0.3,0,0,1,15,30,450,0.0593557357788086,1.29072624851791
"mean",0.3," MNAR ",0.3,0,0,1,15,30,450,0.0888562202453613,2.14938726571444
"LLS",0.3," MNAR ",0.3,0,0,1,15,30,450,0.0888562202453613,NA
"KNNImpute",0.3," MNAR ",0.3,0,0,1,15,30,450,0.0796873569488525,2.20135334497096
"BPCA",0.3," MNAR ",0.3,0,0,1,15,30,450,0.663541078567505,2.14742140956971
"PPCA",0.3," MNAR ",0,0,0.3,1,15,30,450,0.663541078567505,NA
"RF",0.3," MAR ",0,0,0.3,1,15,30,450,0.537459850311279,1.10448582345939
"min",0.3," MAR ",0,0,0.3,1,15,30,450,0.0724451541900635,1.8434151740017
"mean",0.3," MAR ",0,0,0.3,1,15,30,450,0.123353481292725,1.09126329425616
"LLS",0.3," MAR ",0,0,0.3,1,15,30,450,0.123353481292725,NA
"KNNImpute",0.3," MAR ",0,0,0.3,1,15,30,450,0.485328435897827,1.06502641476179
"BPCA",0.3," MAR ",0,0,0.3,1,15,30,450,0.320163726806641,1.09126329425616
"PPCA",0.3," MAR ",0.15,0.15,0,1,15,30,450,0.320163726806641,NA
"RF",0.3," MNAR  MCAR ",0.15,0.15,0,1,15,30,450,0.790281772613525,1.38760225245288
"min",0.3," MNAR  MCAR ",0.15,0.15,0,1,15,30,450,0.0798852443695068,1.16001544036104
"mean",0.3," MNAR  MCAR ",0.15,0.15,0,1,15,30,450,0.111232757568359,1.3786957998545
"LLS",0.3," MNAR  MCAR ",0.15,0.15,0,1,15,30,450,0.111232757568359,NA
"KNNImpute",0.3," MNAR  MCAR ",0.15,0.15,0,1,15,30,450,0.0524544715881348,1.39530721920285
"BPCA",0.3," MNAR  MCAR ",0.15,0.15,0,1,15,30,450,0.293720006942749,1.3786957998545
"PPCA",0.3," MNAR  MCAR ",0,0.15,0.15,1,15,30,450,0.293720006942749,NA
"RF",0.3," MAR  MCAR ",0,0.15,0.15,1,15,30,450,0.881350517272949,1.14867242627616
"min",0.3," MAR  MCAR ",0,0.15,0.15,1,15,30,450,0.0710880756378174,1.75980462315317
"mean",0.3," MAR  MCAR ",0,0.15,0.15,1,15,30,450,0.0961029529571533,1.10906918414888
"LLS",0.3," MAR  MCAR ",0,0.15,0.15,1,15,30,450,0.0961029529571533,NA
"KNNImpute",0.3," MAR  MCAR ",0,0.15,0.15,1,15,30,450,0.0731794834136963,1.13321423938317
"BPCA",0.3," MAR  MCAR ",0,0.15,0.15,1,15,30,450,0.271424293518066,1.10906918414888
"PPCA",0.3," MAR  MCAR ",0.15,0,0.15,1,15,30,450,0.271424293518066,NA
"RF",0.3," MNAR  MAR ",0.15,0,0.15,1,15,30,450,0.541839599609375,1.33248132422999
"min",0.3," MNAR  MAR ",0.15,0,0.15,1,15,30,450,0.075176477432251,1.2564104699212
"mean",0.3," MNAR  MAR ",0.15,0,0.15,1,15,30,450,0.060309886932373,1.3322731070317
"LLS",0.3," MNAR  MAR ",0.15,0,0.15,1,15,30,450,0.060309886932373,NA
"KNNImpute",0.3," MNAR  MAR ",0.15,0,0.15,1,15,30,450,0.084200382232666,1.29638674703819
"BPCA",0.3," MNAR  MAR ",0.15,0,0.15,1,15,30,450,0.272502183914185,1.32202604776913
"PPCA",0.3," MNAR  MAR ",0.1,0.1,0.1,1,15,30,450,0.272502183914185,NA
"RF",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,15,30,450,0.961321353912354,1.272561543935
"min",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,15,30,450,0.060490608215332,1.29937636770126
"mean",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,15,30,450,0.0521781444549561,1.25396817955307
"LLS",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,15,30,450,0.0521781444549561,NA
"KNNImpute",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,15,30,450,0.0539867877960205,1.26236643079634
"BPCA",0.3," MNAR  MAR  MCAR ",0.1,0.1,0.1,1,15,30,450,0.258630037307739,1.25396817955307
