"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.135319015181298,3.01500158233065
"mean",0.01,1,0.0157441381023245,1.00179230901011
"PPCA",0.01,1,0.015684471761469,1.01404614443083
"RF",0.01,1,0.015242777323436,1.00642515947389
"min",0.1,1,0.131280958480235,2.90904640484887
"mean",0.1,1,0.0154005628750641,1.00253968431673
"PPCA",0.1,1,0.0159887558440749,1.0126535445077
"RF",0.1,1,0.0154429676820747,1.00692622573066
"min",0.3,1,0.125119737699963,2.83969775631818
"mean",0.3,1,0.0155043269099149,1.00335489061802
"PPCA",0.3,1,0.015957221842511,1.01536978858084
"RF",0.3,1,0.0157498333050815,1.0099147214178
"min",0.4,1,0.120392885176606,2.78170320826809
"mean",0.4,1,0.0156276768779067,1.00441928246693
"PPCA",0.4,1,0.0160281196860369,1.01768503513721
"RF",0.4,1,0.0157794007719277,1.01070801257761
"min",0.01,2,0.133308601164595,2.94397074196662
"mean",0.01,2,0.0157121239222718,1.00228102459795
"PPCA",0.01,2,0.0157016983266252,1.00719626017292
"RF",0.01,2,0.0156247908899558,1.0109484521942
"min",0.1,2,0.130301875463016,2.88569554345504
"mean",0.1,2,0.015634279493934,1.00379818749254
"PPCA",0.1,2,0.0158455031606928,1.01101613490763
"RF",0.1,2,0.0157998539309891,1.00841375130522
"min",0.3,2,0.123364934636032,2.81746784290412
"mean",0.3,2,0.0155426044551788,1.00358138546049
"PPCA",0.3,2,0.0160087898813098,1.01564869992738
"RF",0.3,2,0.0158534334618594,1.00943761918416
"min",0.4,2,0.118766727259613,2.76953831344772
"mean",0.4,2,0.0155919309215591,1.00459579789174
"PPCA",0.4,2,0.0160148341219763,1.01683983649392
"RF",0.4,2,0.0158581164124426,1.01091121817044
"min",0.01,3,0.135706078993473,2.92343426938706
"mean",0.01,3,0.0157456834975953,1.00445549400572
"PPCA",0.01,3,0.0159705165529452,1.01040963002871
"RF",0.01,3,0.0161337184245157,1.00664587776373
"min",0.1,3,0.131511842747214,2.90463500316973
"mean",0.1,3,0.0156277278072109,1.00298844123661
"PPCA",0.1,3,0.0159213955196879,1.01323198819705
"RF",0.1,3,0.0159803298201731,1.00797495478327
"min",0.3,3,0.123958009428585,2.82335952198128
"mean",0.3,3,0.0156759084571708,1.00364961670375
"PPCA",0.3,3,0.0159216765580873,1.01586899119303
"RF",0.3,3,0.0159131267255408,1.01004828036511
"min",0.4,3,0.120107974882327,2.78075773702983
"mean",0.4,3,0.0156667093000895,1.00416120673042
"PPCA",0.4,3,0.0160743978229109,1.01806966986504
"RF",0.4,3,0.0159148018631209,1.01130297900541
