"Method","Prop","Iteration","results_differences","error"
"min",0.01,1,0.00996147256120586,1.10813429008832
"mean",0.01,1,0.109922084643796,3.72327772801802
"PPCA",0.01,1,0.104151760324725,3.69722014096026
"RF",0.01,1,0.107513664000387,3.75849743340375
"min",0.01,2,0.00951470374736839,1.16427437752736
"mean",0.01,2,0.108275523909474,3.67207639996083
"PPCA",0.01,2,0.112674084586662,3.63492182327472
"RF",0.01,2,0.113437157220253,3.40368556796245
"min",0.01,3,0.0104209440421913,1.13928424776698
"mean",0.01,3,0.106483555726271,3.41709102809937
"PPCA",0.01,3,0.116932850083259,3.66482026517693
"RF",0.01,3,0.103280473736848,3.35194821669688
