"Method","Prop","Iteration","results_differences","error"
"min",0.03,1,0.0112850557257083,1.09064630379878
"mean",0.03,1,0.105146093894157,3.4471980540082
"PPCA",0.03,1,0.0985447019314857,3.19132479588037
"RF",0.03,1,0.103970766629406,3.60004664580947
"min",0.03,2,0.0110898203295707,1.14524327127538
"mean",0.03,2,0.104058197938275,3.6385875078436
"PPCA",0.03,2,0.0979190872325922,3.30274817191754
"RF",0.03,2,0.10191322151146,3.50160582237287
"min",0.03,3,0.0116315203337291,1.22185452901884
"mean",0.03,3,0.0971780678234325,3.27323249821219
"PPCA",0.03,3,0.102129119877099,3.27797520871973
"RF",0.03,3,0.104047459685361,3.51790903943316
