"Method","Miss","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Result_diff","NRMSE"
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,590,24,14160,0.0677693418647808,1.38504159696704
"mean",0.01,0,0.01,0,1,337,43,14491,0.0134358247439062,0.995976701354652
"mean",0.01,0.01,0,0,1,337,43,14491,0.119863865260268,4.11732020849986
"mean",0.01,0,0,0.01,1,337,43,14491,0.014497051372956,0.987399904951469
"mean",0.01,0.005,0.005,0,1,337,43,14491,0.0618706169171981,1.38237305351151
"mean",0.01,0,0.005,0.005,1,337,43,14491,0.0135561216600374,1.01501420840665
"mean",0.01,0.005,0,0.005,1,337,43,14491,0.0468761455449027,1.31277536294301
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,337,43,14491,0.0651228406544306,1.34836602633529
"mean",0.05,0,0.05,0,1,337,43,14491,0.0164539813166779,1.00394800581807
"mean",0.05,0.05,0,0,1,337,43,14491,0.0997467534131781,3.42490097014193
"mean",0.05,0,0,0.05,1,337,43,14491,0.0138854082547096,0.999192075767911
"mean",0.05,0.025,0.025,0,1,337,43,14491,0.0528752395058607,1.36700484565331
"mean",0.05,0,0.025,0.025,1,337,43,14491,0.016710465646183,0.99796203237194
"mean",0.05,0.025,0,0.025,1,337,43,14491,0.0504372738881747,1.36912534450481
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,337,43,14491,0.0433102492957717,1.37355433712665
"mean",0.01,0,0.01,0,1,337,27,9099,0.0152010494520341,0.996615201360768
"mean",0.01,0.01,0,0,1,337,27,9099,0.114459109383122,4.47574933689226
"mean",0.01,0,0,0.01,1,337,27,9099,0.0114892493690491,1.01391913779821
"mean",0.01,0.005,0.005,0,1,337,27,9099,0.0766076719391433,1.44902325105395
"mean",0.01,0,0.005,0.005,1,337,27,9099,0.0196766299765789,0.982523603521844
"mean",0.01,0.005,0,0.005,1,337,27,9099,0.0533832503078995,1.40474027601221
