"Method","Miss","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Result_diff","NRMSE"
"mean",0.05,0.025,0,0.025,1,825,43,35475,0.0464538845295585,1.40784805516028
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,825,43,35475,0.0501605882234586,1.34569076933662
"mean",0.01,0,0.01,0,1,825,27,22275,0.0141530494498783,0.999427956273218
"mean",0.01,0.01,0,0,1,825,27,22275,0.0979800405033165,3.72335097362435
"mean",0.01,0,0,0.01,1,825,27,22275,0.0172077560662094,1.00571945680084
"mean",0.01,0.005,0.005,0,1,825,27,22275,0.0644309726938792,1.51807299389678
"mean",0.01,0,0.005,0.005,1,825,27,22275,0.0150381849900845,1.0336290295035
"mean",0.01,0.005,0,0.005,1,825,27,22275,0.0745888680510396,1.56493761487686
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,825,27,22275,0.062376779841731,1.44006000760966
"mean",0.05,0,0.05,0,1,825,27,22275,0.0155656031678168,1.00115505804401
"mean",0.05,0.05,0,0,1,825,27,22275,0.112508623060923,4.41110097454719
"mean",0.05,0,0,0.05,1,825,27,22275,0.0163827130598404,1.00028110926549
"mean",0.05,0.025,0.025,0,1,825,27,22275,0.052743849441695,1.35333377535366
"mean",0.05,0,0.025,0.025,1,825,27,22275,0.0150382737488974,1.00059871454677
"mean",0.05,0.025,0,0.025,1,825,27,22275,0.0509547548430247,1.35637221371723
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,825,27,22275,0.0546550861578085,1.38092631449199
"mean",0.01,0,0.01,0,1,825,37,30525,0.0160726970564897,1.00078500763278
"mean",0.01,0.01,0,0,1,825,37,30525,0.125636302905765,4.46693192447143
"mean",0.01,0,0,0.01,1,825,37,30525,0.017524654313748,1.00076336454009
"mean",0.01,0.005,0.005,0,1,825,37,30525,0.0680418353294845,1.2771933158178
"mean",0.01,0,0.005,0.005,1,825,37,30525,0.0168825177340076,1.01235512797926
"mean",0.01,0.005,0,0.005,1,825,37,30525,0.0730572239226664,1.37501756169753
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,825,37,30525,0.0696332236348117,1.31475056065444
"mean",0.05,0,0.05,0,1,825,37,30525,0.0159076783637414,0.999988649564384
"mean",0.05,0.05,0,0,1,825,37,30525,0.0959954346941832,3.39832903382032
"mean",0.05,0,0,0.05,1,825,37,30525,0.0150779706883697,1.00024531491529
"mean",0.05,0.025,0.025,0,1,825,37,30525,0.0514774573395881,1.38094121965748
"mean",0.05,0,0.025,0.025,1,825,37,30525,0.0156481047409624,1.00273888520353
"mean",0.05,0.025,0,0.025,1,825,37,30525,0.0470216850808518,1.41740031053751
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,825,37,30525,0.0536654048627678,1.36217651740501
"mean",0.01,0,0.01,0,1,825,46,37950,0.0156222309906998,1.00164457281946
"mean",0.01,0.01,0,0,1,825,46,37950,0.11324455944613,3.90644795492796
"mean",0.01,0,0,0.01,1,825,46,37950,0.0154821673837984,0.997921707490326
"mean",0.01,0.005,0.005,0,1,825,46,37950,0.0578555811536069,1.3898639357618
"mean",0.01,0,0.005,0.005,1,825,46,37950,0.0133911900856978,0.999452447983086
"mean",0.01,0.005,0,0.005,1,825,46,37950,0.0536474665958363,1.39528162957535
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,825,46,37950,0.0711795090057039,1.41409559236398
"mean",0.05,0,0.05,0,1,825,46,37950,0.01440763851704,0.999172145222228
"mean",0.05,0.05,0,0,1,825,46,37950,0.105138070369199,3.68622284137323
"mean",0.05,0,0,0.05,1,825,46,37950,0.0139729816862024,1.00054346644598
"mean",0.05,0.025,0.025,0,1,825,46,37950,0.0520768984768809,1.3791075442209
"mean",0.05,0,0.025,0.025,1,825,46,37950,0.0156446913120639,1.00301022710744
"mean",0.05,0.025,0,0.025,1,825,46,37950,0.0486027624830688,1.33788861700685
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,825,46,37950,0.055797226790359,1.34746279065901
"mean",0.01,0,0.01,0,1,825,24,19800,0.0131290071401936,1.00064321864013
"mean",0.01,0.01,0,0,1,825,24,19800,0.104264007721046,4.16167157376383
"mean",0.01,0,0,0.01,1,825,24,19800,0.0142534519790742,1.00137136716612
"mean",0.01,0.005,0.005,0,1,825,24,19800,0.0689357947704575,1.4734796131868
"mean",0.01,0,0.005,0.005,1,825,24,19800,0.0128350468524961,1.00534643337005
"mean",0.01,0.005,0,0.005,1,825,24,19800,0.0538871585859735,2.0209080146114
"mean",0.01,0.00333333333333333,0.00333333333333333,0.00333333333333333,1,825,24,19800,0.0569985616906762,1.40401701534824
"mean",0.05,0,0.05,0,1,825,24,19800,0.015590795783764,1.00163847013725
"mean",0.05,0.05,0,0,1,825,24,19800,0.113991185608259,4.06542560610375
"mean",0.05,0,0,0.05,1,825,24,19800,0.0170089795208103,1.00065260378964
"mean",0.05,0.025,0.025,0,1,825,24,19800,0.0569599113069494,1.41212985955249
"mean",0.05,0,0.025,0.025,1,825,24,19800,0.0165389789419078,0.999832774203733
"mean",0.05,0.025,0,0.025,1,825,24,19800,0.052007553952942,1.33001868088979
"mean",0.05,0.0166666666666667,0.0166666666666667,0.0166666666666667,1,825,24,19800,0.0521821181006251,1.35777602032721
