"Method","Miss","MissModel","MNAR","MCAR","MAR","Iteration","Rows","Cols","Total_data","Time_total","NRMSE"
"PPCA",0.1," MCAR ",0,0.1,0,1,180,1130,203400,44.7204987208048,1.0128990524337
"RF",0.1," MCAR ",0,0.1,0,1,180,1130,203400,21.7617523749669,1.00999900124077
"min",0.1," MCAR ",0,0.1,0,1,180,1130,203400,10.1078650951385,2.91017446984135
"mean",0.1," MCAR ",0,0.1,0,1,180,1130,203400,10.1966223716736,1.00220890706125
"LLS",0.1," MCAR ",0,0.1,0,1,180,1130,203400,28.6902309536934,1.23240879052901
"KNNImpute",0.1," MCAR ",0,0.1,0,1,180,1130,203400,11.5638203620911,1.0534738880248
"BPCA",0.1," MCAR ",0,0.1,0,1,180,1130,203400,26.9064834117889,1.00220890706125
"PPCA",0.1," MNAR ",0.1,0,0,1,180,1130,203400,38.9557053128878,3.1046421511641
"RF",0.1," MNAR ",0.1,0,0,1,180,1130,203400,18.6049825469653,3.12630392316025
"min",0.1," MNAR ",0.1,0,0,1,180,1130,203400,9.8090672492981,1.2195351618816
"mean",0.1," MNAR ",0.1,0,0,1,180,1130,203400,9.87419176101685,3.09908919004792
"LLS",0.1," MNAR ",0.1,0,0,1,180,1130,203400,27.8031632820765,3.22939162127747
"KNNImpute",0.1," MNAR ",0.1,0,0,1,180,1130,203400,9.88466954231262,3.13408737979991
"BPCA",0.1," MNAR ",0.1,0,0,1,180,1130,203400,26.2376289367676,3.09908919004792
"PPCA",0.1," MAR ",0,0,0.1,1,180,1130,203400,52.7875428438187,1.01565373347832
"RF",0.1," MAR ",0,0,0.1,1,180,1130,203400,20.0588274121284,1.00999502611711
"min",0.1," MAR ",0,0,0.1,1,180,1130,203400,11.2297737598419,2.8260236825491
"mean",0.1," MAR ",0,0,0.1,1,180,1130,203400,11.277934551239,1.00343580727327
"LLS",0.1," MAR ",0,0,0.1,1,180,1130,203400,29.2521893024445,1.25385062523057
"KNNImpute",0.1," MAR ",0,0,0.1,1,180,1130,203400,11.7685074806213,1.06063156711431
"BPCA",0.1," MAR ",0,0,0.1,1,180,1130,203400,29.186793088913,1.00343580727327
"PPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,48.0910417636236,1.36341422299645
"RF",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,21.7371888319651,1.36892554134551
"min",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,10.9251985549927,1.4932886692915
"mean",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,10.9632062911987,1.35895619914648
"LLS",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,28.9658168077469,1.43740294063265
"KNNImpute",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,11.3424644470215,1.3819989139459
"BPCA",0.1," MNAR  MCAR ",0.05,0.05,0,1,180,1130,203400,26.6047990322113,1.35895619914648
